bill	status	title	ch	date	desc	roll	yea	nay	passed	cls	margin
LD1897	4	An Act Regarding Outdoor Cultivation in the Medical Use Cannabis and Adult Use Cannabis Industries	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1591232	8	27	0	passage	0.296
LD1897	4	An Act Regarding Outdoor Cultivation in the Medical Use Cannabis and Adult Use Cannabis Industries	S	2025-06-16	Accept Minority Ought To Pass As Amended Report	1591233	17	18	0	passage	0.944
LD1897	4	An Act Regarding Outdoor Cultivation in the Medical Use Cannabis and Adult Use Cannabis Industries	H	2025-06-16	Acc Maj Otp As Amended Rep	1590959	54	92	0	passage	0.587
LD1900	4	An Act to Bring Parity to the State's Recognition of the Wabanaki Nations' Authority to Provide Electric Power Districts and Child Support Enforcement	H	2025-06-04	Acc Maj Ought To Pass Rep	1584884	75	67	1	passage	0.893
LD1900	4	An Act to Bring Parity to the State's Recognition of the Wabanaki Nations' Authority to Provide Electric Power Districts and Child Support Enforcement	S	2025-06-05	Accept Majority Ought To Pass Report	1585711	20	12	1	passage	0.6
LD1911	5	An Act to Automatically Seal Criminal History Record Information for Certain Crimes	S	2026-04-06	Accept Majority Ought To Pass As Amended Report	1677040	20	12	1	passage	0.6
LD1911	5	An Act to Automatically Seal Criminal History Record Information for Certain Crimes	H	2026-04-07	Acc Maj Otp As Amended Rep	1677425	81	65	1	passage	0.802
LD1911	5	An Act to Automatically Seal Criminal History Record Information for Certain Crimes	H	2026-04-07	Enactment	1678099	79	68	1	passage	0.861
LD1911	5	An Act to Automatically Seal Criminal History Record Information for Certain Crimes	S	2026-04-29	Reconsideration - Veto	1691435	20	11	0	veto_override	0.55
LD1923	4	An Act to Update Juvenile Justice System Reporting Requirements and to Direct the Department of Corrections and the Department of Health and Human Services to Study Modifying the Long Creek Youth Development Center	S	2026-03-18	Accept Majority Ought To Pass As Amended Report	1665351	19	13	1	passage	0.684
LD1934	4	An Act to Promote Responsible Outdoor Lighting	H	2025-06-10	Acc Maj Otp As Amended Rep	1587542	66	78	0	passage	0.846
LD1934	4	An Act to Promote Responsible Outdoor Lighting	S	2025-06-11	Passage To Be Engrossed As Amended	1588849	24	7	1	passage	0.292
LD1934	4	An Act to Promote Responsible Outdoor Lighting	S	2025-06-11	Accept Majority Ought To Pass As Amended Report	1588848	22	9	1	passage	0.409
LD1934	4	An Act to Promote Responsible Outdoor Lighting	H	2025-06-11	Recede And Concur	1589358	74	67	1	concurrence	0.905
LD1934	4	An Act to Promote Responsible Outdoor Lighting	H	2025-06-13	Enactment	1590321	74	72	1	passage	0.973
LD1937	4	An Act to Require Hospitals and Hospital-affiliated Providers to Provide Financial Assistance Programs for Medical Care	S	2025-06-12	Accept Majority Ought To Pass As Amended Report	1589984	21	14	1	passage	0.667
