bill	chamber	roll	vote_date	yea	nay	question_class	batch	title
SB0464	house	1549275	2025-04-15	71	23	passage		AN ACT to amend Tennessee Code Annotated, Title 40, relative to pretrial release.
SB0468	house	1548732	2025-04-15	72	22	passage	superseded	AN ACT to amend Tennessee Code Annotated, Title 4; Title 37; Title 41; Title 49 and Title 68, relative to public safety.
SB0468	house	1687800	2026-04-22	71	18	conference_report	batch-02	AN ACT to amend Tennessee Code Annotated, Title 4; Title 37; Title 41; Title 49 and Title 68, relative to public safety.
SB0471	house	1538443	2025-04-07	73	20	passage		AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, Part 13, relative to the Success Sequence Act.
SB0503	house	1551037	2025-04-16	70	22	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 1, Part 4, relative to months of observance.
SB0525	house	1543720	2025-04-10	73	22	passage		AN ACT to amend Tennessee Code Annotated, Title 2; Title 5; Title 6; Title 7 and Title 20, Chapter 18, relative to ballot measures.
SB0547	house	1552031	2025-04-17	73	23	passage		AN ACT to amend Tennessee Code Annotated, Title 40, relative to public safety.
SB0626	house	1550047	2025-04-16	72	22	passage		AN ACT to amend Tennessee Code Annotated, Title 2, relative to elections.
SB0669	house	1517367	2025-03-13	70	19	passage		AN ACT to amend Tennessee Code Annotated, Title 7 and Title 68, relative to the world health organization.
SB0670	house	1553646	2025-04-21	71	21	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 4; Title 11, Chapter 14, Part 4; Title 66; Title 67, Chapter 4, Part 4 and Title 69, relative to wetla
SB0674	house	1641638	2026-02-23	70	22	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 7 and Title 50, relative to the regulation of employment.
SB0688	house	1550166	2025-04-16	67	20	passage		AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 1; Title 49, Chapter 3 and Title 49, Chapter 5, relative to the state board of education's
SB0690	house	1528866	2025-03-27	73	22	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to virtual school students.
SB0694	house	1519163	2025-03-17	61	26	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 45, Chapter 5, relative to industrial loan and thrift companies.
SB0714	house	1553980	2025-04-22	63	30	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7 and Title 49, relative to education.
SB0714	house	1688333	2026-04-22	73	19	conference_report		AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7 and Title 49, relative to education.
SB0734	house	1524981	2025-03-24	58	22	passage		AN ACT to amend Tennessee Code Annotated, Section 7-4-202, relative to hotel occupancy taxes within metropolitan governments.
SB0750	house	1548654	2025-04-15	75	20	passage	batch-06	AN ACT to amend Tennessee Code Annotated, Title 4; Title 7; Title 8; Title 38 and Title 68, relative to illegal aliens.
SB0766	house	1536603	2025-04-03	48	27	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 56, Chapter 37, relative to premium finance companies.
SB0799	house	1547660	2025-04-14	60	25	passage		AN ACT to amend Tennessee Code Annotated, Title 2, relative to elections.
