session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	passed	status	governor	disposition	reason	desc	title
2214	HB0299	H		1626630	2026-02-09	66	2	1	4	signed	screened	not-divided	House/ passed 3rd reading	School Response to Sexual Offense
2214	HB0299	S		1639952	2026-02-20	24	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	School Response to Sexual Offense
2214	HB0300	H		1629009	2026-02-10	68	3	1	4	signed	screened	not-divided	House/ passed 3rd reading	School District Taxation Amendments
2214	HB0300	H		1650392	2026-03-03	67	2	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	School District Taxation Amendments
2214	HB0300	S		1648060	2026-02-27	24	1	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	School District Taxation Amendments
2214	HB0301	H		1638854	2026-02-19	58	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Drug Recodification
2214	HB0301	S		1650619	2026-03-03	28	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Drug Recodification
2214	HB0302	H		1640702	2026-02-23	57	12	1	6	none	screened	not-divided	House/ passed 3rd reading	Government Speech Neutrality Amendments
2214	HB0303	H		1638538	2026-02-19	68	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Family Court Amendments
2214	HB0303	H		1656290	2026-03-06	67	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Family Court Amendments
2214	HB0303	S		1655897	2026-03-05	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Family Court Amendments
2214	HB0306	H		1636252	2026-02-17	68	2	1	4	signed	screened	not-divided	House/ passed 3rd reading	Reinvestment Fee Amendments
2214	HB0306	H		1656767	2026-03-06	57	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Reinvestment Fee Amendments
2214	HB0306	S		1656766	2026-03-06	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Reinvestment Fee Amendments
2214	HB0307	H		1636208	2026-02-17	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Attorney Fees Amendments
2214	HB0307	S		1648913	2026-03-02	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Attorney Fees Amendments
2214	HB0308	H		1635206	2026-02-17	66	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Homeless Services Amendments
2214	HB0308	H		1654704	2026-03-05	68	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Homeless Services Amendments
2214	HB0308	S		1652095	2026-03-03	25	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Homeless Services Amendments
2214	HB0308	S		1653929	2026-03-04	26	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Homeless Services Amendments
2214	HB0309	H		1628628	2026-02-10	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Juneteenth Observance Amendments
2214	HB0309	S		1647753	2026-02-27	23	3	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Juneteenth Observance Amendments
2214	HB0310	H		1629043	2026-02-10	67	3	1	6	none	screened	not-divided	House/ passed 3rd reading	School Reintegration Plan Amendments
2214	HB0311	H		1626471	2026-02-09	68	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Elections Study
2214	HB0311	H		1656020	2026-03-06	60	12	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Elections Study
2214	HB0311	S		1655746	2026-03-05	22	5	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Elections Study
2214	HB0312	H		1640297	2026-02-20	51	17	1	4	signed	screened	not-the-chambers-final-roll	House/ passed 3rd reading	School Curriculum and Standards Modifications
2214	HB0312	H		1655593	2026-03-05	65	3	1	4	signed	screened	not-divided	House Conference Committee - Final Passage	School Curriculum and Standards Modifications
2214	HB0312	S		1653373	2026-03-04	20	8	1	4	signed	screened	not-the-chambers-final-roll	Senate/ passed 2nd & 3rd readings/ suspension	School Curriculum and Standards Modifications
2214	HB0312	S		1655592	2026-03-05	19	5	1	4	signed	dropped:no-direction	curriculum content and open educational resources	Senate Conference Committee - Final Passage	School Curriculum and Standards Modifications
2214	HB0313	H		1640314	2026-02-20	54	17	1	4	signed	dropped:no-area	landscaper contractor certification	House/ passed 3rd reading	Landscaper Certification Amendments
2214	HB0313	S		1656499	2026-03-06	15	13	1	4	signed	dropped:no-area	landscaper contractor certification	Senate/ passed 2nd & 3rd readings/ suspension	Landscaper Certification Amendments
2214	HB0314	H		1627894	2026-02-10	64	4	1	4	signed	screened	not-divided	House/ passed 3rd reading	Firearm Purchase Amendments
2214	HB0314	S		1639763	2026-02-20	18	6	1	4	signed	dropped:mixed	drops the buyer consent form but keeps approved background checks 30 days instead of 20	Senate/ passed 3rd reading	Firearm Purchase Amendments
2214	HB0315	H		1649139	2026-03-02	40	28	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Human Development Instruction
2214	HB0318	H		1636273	2026-02-17	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Agency Fee Amendments
2214	HB0318	S		1653294	2026-03-04	27	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Agency Fee Amendments
2214	HB0319	H		1636605	2026-02-18	67	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Electronic Records Amendments
2214	HB0319	H		1656609	2026-03-06	69	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Electronic Records Amendments
2214	HB0319	S		1656608	2026-03-06	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Electronic Records Amendments
2214	HB0320	H		1634986	2026-02-17	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Office of Artificial Intelligence Policy Amendments
2214	HB0320	S		1647916	2026-02-27	28	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Office of Artificial Intelligence Policy Amendments
2214	HB0321	H		1645206	2026-02-25	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Inmate Medical Treatment Rates Amendments
2214	HB0321	S		1656444	2026-03-06	28	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Inmate Medical Treatment Rates Amendments
2214	HB0323	H		1644871	2026-02-25	63	2	1	4	signed	screened	not-divided	House/ passed 3rd reading	Solar Panel Disposal Amendments
2214	HB0323	S		1655272	2026-03-05	24	3	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Solar Panel Disposal Amendments
2214	HB0324	H		1631554	2026-02-12	63	5	1	4	signed	screened	not-divided	House/ passed 3rd reading	Utah Marriage Commission Fee Amendments
2214	HB0324	S		1653941	2026-03-04	21	2	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Utah Marriage Commission Fee Amendments
2214	HB0325	H		1633135	2026-02-13	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Government Records Classification Amendments
2214	HB0325	S		1656746	2026-03-06	21	2	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Government Records Classification Amendments
2214	HB0326	H		1640847	2026-02-23	71	0	1	6	none	screened	not-divided	House/ passed 3rd reading	Animal Depredation Amendments
2214	HB0328	H		1636841	2026-02-18	39	29	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Water Usage Modifications
2214	HB0329	H		1635232	2026-02-17	53	18	1	4	signed	dropped:no-area	paid postpartum leave for state employees; no area covers public employment benefits	House/ passed 3rd reading	State Employee Maternity and Leave Amendments
2214	HB0329	S		1655694	2026-03-05	25	2	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	State Employee Maternity and Leave Amendments
2214	HB0330	H		1629015	2026-02-10	65	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Liability Limitations Amendments
2214	HB0330	H		1646113	2026-02-26	50	15	1	4	signed	batch-06	imported 2026-09-10, run 06:48:26.930Z	House/ concurs with Senate amendment	Liability Limitations Amendments
2214	HB0330	S		1644197	2026-02-25	17	7	1	4	signed	batch-06	imported 2026-09-10, run 06:48:26.930Z	Senate/ passed 3rd reading	Liability Limitations Amendments
2214	HB0331	H		1644999	2026-02-25	62	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Criminal Offenses Modifications
2214	HB0331	S		1654529	2026-03-05	21	6	1	4	signed	batch-09	imported 2026-09-10, run 16:43:17.988Z	Senate/ passed 2nd & 3rd readings/ suspension	Criminal Offenses Modifications
2214	HB0333	H		1639788	2026-02-20	72	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Adoption Records Access Amendments
2214	HB0333	S		1650257	2026-03-03	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Adoption Records Access Amendments
2214	HB0334	H		1647381	2026-02-26	61	6	1	6	none	screened	not-divided	House/ passed 3rd reading	Educator Organization Amendments
2214	HB0334	S		1656788	2026-03-06	8	20	0	6	none	screened	not-enacted-status-6	Senate/ failed	Educator Organization Amendments
2214	HB0336	H		1640105	2026-02-20	65	4	1	4	signed	screened	not-divided	House/ passed 3rd reading	Recovery Operations Amendments
2214	HB0336	H		1656656	2026-03-06	62	3	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Recovery Operations Amendments
2214	HB0336	S		1656655	2026-03-06	28	1	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Recovery Operations Amendments
2214	HB0337	H		1641414	2026-02-23	47	20	1	4	signed	screened	not-the-chambers-final-roll	House/ passed 3rd reading	Nicotine Product Tax Amendments
2214	HB0337	H		1656219	2026-03-06	51	19	1	4	signed	batch-06	imported 2026-09-10, run 06:48:26.930Z	House/ concurs with Senate amendment	Nicotine Product Tax Amendments
2214	HB0337	S		1655292	2026-03-05	26	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Nicotine Product Tax Amendments
2214	HB0337	S		1655799	2026-03-05	27	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Nicotine Product Tax Amendments
2214	HB0338	H		1647427	2026-02-26	67	0	1	6	none	screened	not-divided	House/ passed 3rd reading	First Responder Health Amendments
2214	HB0339	H		1637229	2026-02-18	66	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Street Medicine Amendments
2214	HB0339	S		1647907	2026-02-27	22	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Street Medicine Amendments
2214	HB0341	H		1647151	2026-02-26	64	8	1	6	none	screened	not-divided	House/ passed 3rd reading	Animal Fighting Penalties
2214	HB0342	H		1625760	2026-02-06	68	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Federal Grant Process Amendments
2214	HB0342	S		1646987	2026-02-26	25	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Federal Grant Process Amendments
2214	HB0343	H		1633229	2026-02-13	68	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Nursing Care Facility Program Amendments
2214	HB0343	S		1646329	2026-02-26	22	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Nursing Care Facility Program Amendments
2214	HB0345	H		1639009	2026-02-19	54	1	1	6	none	screened	not-divided	House/ passed 3rd reading	Victim Amendments
2214	HB0346	H		1640045	2026-02-20	72	0	1	6	none	screened	not-divided	House/ passed 3rd reading	Sexual Abuse of a Child Amendments
2214	HB0348	H		1636159	2026-02-17	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Dedicated Water Amendments
2214	HB0348	S		1656536	2026-03-06	26	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Dedicated Water Amendments
2214	HB0349	H		1631443	2026-02-12	63	1	1	6	none	screened	not-divided	House/ passed 3rd reading	Statewide Water Storage
2214	HB0350	H		1641062	2026-02-23	67	1	1	6	none	screened	not-divided	House/ passed 3rd reading	Foods Available at Schools Amendments
2214	HB0351	H		1628341	2026-02-10	69	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	School Vision Screening Amendments
2214	HB0351	S		1641281	2026-02-23	21	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	School Vision Screening Amendments
2214	HB0352	H		1628893	2026-02-10	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Higher Education Alignment
2214	HB0352	S		1655423	2026-03-05	29	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Higher Education Alignment
2214	HB0353	H		1626452	2026-02-09	72	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Higher Education Credit Transfer Amendments
2214	HB0353	S		1647747	2026-02-27	23	1	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Higher Education Credit Transfer Amendments
2214	HB0354	H		1639312	2026-02-19	63	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Rescue Tracking Equipment Offense Amendments
2214	HB0354	S		1656790	2026-03-06	24	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Rescue Tracking Equipment Offense Amendments
2214	HB0356	H		1623065	2026-02-04	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Drug Distribution Amendments
2214	HB0356	S		1638742	2026-02-19	25	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Drug Distribution Amendments
2214	HB0357	H		1638913	2026-02-19	65	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Amendments to Motor Vehicle Data Privacy
